'LeanUrat.HC1.V9_K1nonrec' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V9_bottomSlot_of_wvEqStretch' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V9_readPair' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V9_readSteepness' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V9_steepSide_frameDescent' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V9_transSteepness' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V9_wvEqStretch_of_bottomSlot' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.V9_wvGeStretch' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.VertexPin.to_child_dig_frame' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.childR_laws' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.levelSet_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
